;;;;;Себестоимость пр-ва
НКР-01;;Крема;Крем для лица с витамином С;Крем витамин С;130 ₽
НКР-02;;Крема;Крем для лица с цинком (от прыщей);Крем с цинком;115 ₽
НКР-03;;Крема;Крем для лица с гиалуроновой кислотой;Крем гиалурон;115 ₽
КБ-09;50385623;;Кондиционер-мусс Ромашка;Кондиционер-мусс Ромашка;150 ₽
КБ-11;85460116;;Бальзам-кондиционер для окрашенных волос;Бальзам-кондиционер для окрашенных волос;150 ₽
КР-01;66546487;;Крем Абрикосовый Пунш;Крем Абрикосовый Пунш;193 ₽
КР-02;66547856;;Крем Вишневый Штрудель;Крем Вишневый Штрудель;193 ₽
КР-03;67983997;;Крем для рук и тела увлажняющий Яблоко с Корицей;Крем для рук и тела увлажняющий Яблоко с Корицей;193 ₽
КР-04;86449776;;Крем с маслами манго и макадамии;Крем с маслами манго и макадамии;159 ₽
КР-05;86449778;;Крем для рук и тела увлажняющий с алоэ вера и муцином улитки;Крем для рук и тела увлажняющий с алоэ вера и муцином улитки;159 ₽
КР-06;86449780;;Крем с коллагеном и эластином;Крем с коллагеном и эластином;159 ₽
КР-07;86449781;;Крем-уход для рук и тела питательный с кокосовым маслом;Крем-уход для рук и тела питательный с кокосовым маслом;159 ₽
КР-08;86449770;;Крем для рук и тела питательный с маслом облепихи;Крем для рук и тела питательный с маслом облепихи;159 ₽
МП-06;50504861;;Черная маска пленка для лица с углем;Черная маска пленка для лица с углем;120 ₽
ОМ-05;90620879;;Молочко увлажняющее;Молочко увлажняющее;102 ₽
ОМ-07;50536464;;Молочко очищающее;Молочко очищающее;123 ₽
ОМ-08;50538180;;Мицеллярная вода увлажняющая;Мицеллярная вода увлажняющая;113 ₽
ОМ-09;50541397;;Гель пенка против черных точек;Гель пенка против черных точек;118 ₽
ОМ-10;50542839;;Тоник для лица против черных точек;Тоник для лица против черных точек;113 ₽
ОМ-11;50544053;;Скраб для лица от черных точек и акне для умывания;Скраб для лица от черных точек и акне для умывания;123 ₽
ОМ-13;90626906;;Гель пенка Очищающая;Гель пенка Очищающая;106 ₽
ПС-01;50319754;;Спрей мист Sweet Aqua 100;Спрей мист Sweet Aqua 100;103 ₽
ПС-02;50319769;;Спрей мист Гранат;Спрей мист Гранат;103 ₽
ПС-03;50319744;;Спрей мист Гранат и Лайм;Спрей мист Гранат и Лайм;103 ₽
ПС-04;50319757;;Спрей мист Forest Bouquet;Спрей мист Forest Bouquet;103 ₽
ПС-06;50319747;;Спрей мист для тела и волос парфюмированный;Спрей мист для тела и волос парфюмированный;118 ₽
ПС-07;50319730;;Спрей мист Sweet Aqua 200;Спрей мист Sweet Aqua 200;118 ₽
ПС-08;50319758;;Спрей мист для тела и волос парфюмированный Forest Bouquet;Спрей мист для тела и волос парфюмированный Forest Bouquet;118 ₽
ПС-09;50319738;;Спрей мист Сирень и Жасмин;Спрей мист Сирень и Жасмин;118 ₽
ПС-11;71888509;;Спрей мист Василек;Спрей мист Василек;102 ₽
ПС-13;97187949;;Спрей мист Smuzzi;Спрей мист Smuzzi;103 ₽
ПС-14;97188517;;Спрей мист для тела и волос парфюмированный Moulin Rouge;Спрей мист для тела и волос парфюмированный Moulin Rouge;103 ₽
ПС-15;97188752;;Спрей мист для тела и волос парфюмированный Aqua Allegoria;Спрей мист для тела и волос парфюмированный Aqua Allegoria;103 ₽
ПС-16;97187947;;Спрей мист для тела и волос парфюмированный Smuzzi;Спрей мист для тела и волос парфюмированный Smuzzi;118 ₽
ПС-17;97188516;;Спрей мист для тела и волос парфюмированный Moulin Rouge;Спрей мист для тела и волос парфюмированный Moulin Rouge;118 ₽
ПС-18;97188751;;Спрей мист для тела и волос парфюмированный Aqua Allegoria;Спрей мист для тела и волос парфюмированный Aqua Allegoria;118 ₽
СР-01;164195536;;Сыворотка с витамином С;Сыворотка с витамином С;167 ₽
СР-02;164195537;;Сыворотка себорегулирующая, 30 мл;Сыворотка себорегулирующая, 30 мл;167 ₽
СР-03;164195538;;Сыворотка с гиалуроном;Сыворотка с гиалуроном;167 ₽
