<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XXBTZUSD,60,20250808,030000,117498.1,117663,116912.8,117317.8,69.16786718
XXBTZUSD,60,20250808,040000,117317.9,117317.9,116875,116908.5,53.93595431
XXBTZUSD,60,20250808,050000,116908.5,116908.5,116719.5,116719.6,14.00326071
XXBTZUSD,60,20250808,060000,116724,116991.7,116723.9,116812,16.3039946
XXBTZUSD,60,20250808,070000,116812.1,116863.8,116769,116805.7,6.64366905
XXBTZUSD,60,20250808,080000,116805.7,116805.7,116575.3,116575.4,19.63553474
XXBTZUSD,60,20250808,090000,116575.4,116787.5,116399.9,116787.5,48.92553758
XXBTZUSD,60,20250808,100000,116787.5,116973.4,116579.8,116900.1,27.45037004
XXBTZUSD,60,20250808,110000,116900.1,116952.8,116492,116661.2,8.70134152
XXBTZUSD,60,20250808,120000,116661.2,116745,116543.9,116725.5,17.76523321
XXBTZUSD,60,20250808,130000,116725.5,116725.5,116367,116569.2,17.43342469
XXBTZUSD,60,20250808,140000,116569.2,116942.5,116569.1,116931.4,6.77789973
XXBTZUSD,60,20250808,150000,116931.4,116931.4,116535.1,116535.1,27.30628139
XXBTZUSD,60,20250808,160000,116549.3,116969,116549.2,116937.1,23.60732689
XXBTZUSD,60,20250808,170000,116937.1,117250,116400,116491.8,79.67814415
XXBTZUSD,60,20250808,180000,116491.8,116539.4,115946,116235.6,42.59264439
XXBTZUSD,60,20250808,190000,116235.6,116300,116013.4,116181.5,31.53218623
XXBTZUSD,60,20250808,200000,116181.5,116645.3,116181.5,116645.3,30.35222748
XXBTZUSD,60,20250808,210000,116645.3,116889.9,116358.3,116500,40.64850684
XXBTZUSD,60,20250808,220000,116500.1,116714.5,116400.1,116459.4,17.33744112
XXBTZUSD,60,20250808,230000,116459.4,116860.1,116358,116859.2,11.21495213
XXBTZUSD,60,20250809,000000,116859.2,116988.1,116742.1,116977.1,10.13499953
XXBTZUSD,60,20250809,010000,116977.1,116977.1,116837.5,116896.1,9.69409165
XXBTZUSD,60,20250809,020000,116896.2,116910,116666.9,116676,8.20806827
XXBTZUSD,60,20250809,030000,116676,116733.1,116600,116600.1,11.01679418
XXBTZUSD,60,20250809,040000,116600.1,116600.1,116571.9,116600.1,8.35743484
XXBTZUSD,60,20250809,050000,116600.1,116600.1,116412.5,116463.8,8.78452414
XXBTZUSD,60,20250809,060000,116463.9,116469,116400,116400.2,5.4357994
XXBTZUSD,60,20250809,070000,116400.2,116600.1,116400,116400.1,3.29694439
XXBTZUSD,60,20250809,080000,116400.1,116949.5,116400,116729.8,33.35377096
XXBTZUSD,60,20250809,090000,116729.9,116737.5,116556.2,116701.3,14.41641489
XXBTZUSD,60,20250809,100000,116701.4,116892.1,116662.5,116763.2,6.31781891
XXBTZUSD,60,20250809,110000,116763.3,117094,116763.2,117045.3,12.29323053
XXBTZUSD,60,20250809,120000,117045.4,117445.7,117045.4,117445.6,43.64336648
XXBTZUSD,60,20250809,130000,117445.7,117869.4,117415.7,117415.8,73.04625056
