date,close_usd,sigma_usd,provenance
2026-03-01,66000,900,digitized
2026-03-02,65200,900,digitized
2026-03-03,64500,900,digitized
2026-03-04,65500,900,digitized
2026-03-05,66200,900,digitized
2026-03-06,67000,900,digitized
2026-03-07,67800,900,digitized
2026-03-08,67000,900,digitized
2026-03-09,66500,900,digitized
2026-03-10,67500,900,digitized
2026-03-11,68500,900,digitized
2026-03-12,69500,900,digitized
2026-03-13,70200,900,digitized
2026-03-14,70800,900,digitized
2026-03-15,71300,900,digitized
2026-03-16,71800,900,digitized
2026-03-17,71000,900,digitized
2026-03-18,70000,900,digitized
2026-03-19,69000,900,digitized
2026-03-20,68200,900,digitized
2026-03-21,67300,900,digitized
2026-03-22,66500,900,digitized
2026-03-23,65800,900,digitized
2026-03-24,66300,900,digitized
2026-03-25,66800,900,digitized
2026-03-26,67200,900,digitized
2026-03-27,66600,900,digitized
2026-03-28,66000,900,digitized
2026-03-29,66500,900,digitized
2026-03-30,67000,900,digitized
2026-03-31,67600,900,digitized
2026-04-01,68200,900,digitized
2026-04-02,69000,900,digitized
2026-04-03,69600,900,digitized
2026-04-04,69800,700,digitized
2026-04-05,70500,600,anchor:news-breakout-70k
2026-04-06,71200,700,digitized
2026-04-07,71800,700,digitized
2026-04-08,72300,700,digitized
2026-04-09,72800,700,digitized
2026-04-10,73400,700,digitized
2026-04-11,73000,700,digitized
2026-04-12,73600,700,digitized
2026-04-13,74200,600,anchor:news-cleared-74k
2026-04-14,74800,700,digitized
2026-04-15,75300,600,anchor:news-above-75k
2026-04-16,75800,700,digitized
2026-04-17,75200,700,digitized
2026-04-18,74600,700,digitized
2026-04-19,74000,700,digitized
2026-04-20,73200,700,digitized
2026-04-21,73800,700,digitized
2026-04-22,74500,700,digitized
2026-04-23,75400,700,digitized
2026-04-24,76200,700,digitized
2026-04-25,77000,700,digitized
2026-04-26,77800,700,digitized
2026-04-27,78500,700,digitized
2026-04-28,79200,700,digitized
2026-04-29,79800,700,digitized
2026-04-30,80400,700,digitized
2026-05-01,81000,900,digitized
2026-05-02,81600,900,digitized
2026-05-03,82000,900,digitized
2026-05-04,82400,900,digitized
2026-05-05,82800,800,digitized
2026-05-06,82300,500,anchor:yahoo-82305-morning
2026-05-07,83600,1200,digitized
2026-05-08,82400,1200,digitized
2026-05-09,81600,1200,digitized
2026-05-10,81000,1200,digitized
2026-05-11,81800,1200,digitized
2026-05-12,82600,1200,digitized
2026-05-13,81800,1200,digitized
2026-05-14,80800,1200,digitized
2026-05-15,80000,1000,digitized
2026-05-16,79200,1000,digitized
2026-05-17,78600,1000,digitized
2026-05-18,77800,1000,digitized
2026-05-19,78400,1000,digitized
2026-05-20,78800,1000,digitized
2026-05-21,77800,1000,digitized
2026-05-22,76800,1000,digitized
2026-05-23,75900,1000,digitized
2026-05-24,75200,1000,digitized
2026-05-25,76000,1000,digitized
2026-05-26,76500,1000,digitized
2026-05-27,75600,1000,digitized
2026-05-28,74400,1000,digitized
2026-05-29,73106,300,anchor:fortune-73105.71
2026-05-30,73600,900,digitized
2026-05-31,73900,900,digitized
2026-06-01,69900,900,digitized
2026-06-02,65900,700,anchor:yahoo-slides-below-66k
2026-06-03,65300,800,digitized:coindesk-below-66k
2026-06-04,63900,900,digitized
2026-06-05,62800,900,digitized
2026-06-06,62000,600,anchor:intraday-low-61100-200wma
2026-06-07,62800,800,digitized
2026-06-08,63600,800,digitized
2026-06-09,63000,500,anchor:blockchainreporter-63k
2026-06-10,62200,600,anchor:cpi-day-low-61500
2026-06-11,63300,800,digitized
2026-06-12,64500,800,digitized
2026-06-13,65400,700,digitized:etf-inflows-85.8m
2026-06-14,66000,800,digitized
2026-06-15,66400,800,digitized:touched-67k
2026-06-16,66000,500,anchor:blockchainreporter-66k
2026-06-17,64600,500,anchor:fortune-64939-0915et
2026-06-18,63800,800,digitized
2026-06-19,62900,800,digitized
2026-06-20,63200,800,digitized
2026-06-21,62300,800,digitized
2026-06-22,61300,800,digitized
2026-06-23,60700,800,digitized
2026-06-24,59800,500,anchor:overnight-low-59023
2026-06-25,61000,800,digitized
2026-06-26,61900,800,digitized
2026-06-27,61400,800,digitized
2026-06-28,60500,800,digitized
2026-06-29,59600,800,digitized
2026-06-30,58900,500,anchor:fortune-58503-0915et
2026-07-01,58400,800,digitized
2026-07-02,58000,600,digitized:dip-low-57300
2026-07-03,59600,800,digitized
2026-07-04,61400,800,digitized
2026-07-05,62884,300,anchor:62883.77
2026-07-06,63775,400,anchor:chart-tag-partial-day
