date,ch211_pct,sigma_pct,window,source
2026-04-07,10.2,0.5,apr,screenshot-sinp-20260407-0419
2026-04-08,4.9,0.5,apr,screenshot-sinp-20260407-0419
2026-04-09,5.9,0.5,apr,screenshot-sinp-20260407-0419
2026-04-10,4.6,0.5,apr,screenshot-sinp-20260407-0419
2026-04-11,4.2,0.5,apr,screenshot-sinp-20260407-0419
2026-04-12,5.0,0.5,apr,screenshot-sinp-20260407-0419
2026-04-13,6.8,0.5,apr,screenshot-sinp-20260407-0419
2026-04-14,10.7,0.5,apr,screenshot-sinp-20260407-0419
2026-04-15,12.8,0.5,apr,screenshot-sinp-20260407-0419
2026-04-16,15.5,0.7,apr,screenshot-sinp-20260407-0419
2026-04-17,9.8,0.7,apr,screenshot-sinp-20260407-0419
2026-04-18,8.3,0.5,apr,screenshot-sinp-20260407-0419
2026-04-19,6.0,0.5,apr,screenshot-sinp-20260407-0419
2026-06-12,13.0,0.8,jun,screenshot-sinp-20260611-0713
2026-06-13,12.5,0.8,jun,screenshot-sinp-20260611-0713
2026-06-14,12.5,0.8,jun,screenshot-sinp-20260611-0713
2026-06-15,10.5,0.8,jun,screenshot-sinp-20260611-0713
2026-06-16,8.5,0.8,jun,screenshot-sinp-20260611-0713
2026-06-17,8.8,0.8,jun,screenshot-sinp-20260611-0713
2026-06-18,9.0,0.8,jun,screenshot-sinp-20260611-0713
2026-06-19,9.5,0.8,jun,screenshot-sinp-20260611-0713
2026-06-20,10.0,0.8,jun,screenshot-sinp-20260611-0713
2026-06-21,10.0,0.8,jun,screenshot-sinp-20260611-0713
2026-06-22,11.5,0.8,jun,screenshot-sinp-20260611-0713
2026-06-23,12.5,0.8,jun,screenshot-sinp-20260611-0713
2026-06-24,15.0,1.0,jun,screenshot-sinp-20260611-0713
2026-06-25,14.0,1.0,jun,screenshot-sinp-20260611-0713
2026-06-26,15.0,1.0,jun,screenshot-sinp-20260611-0713
2026-06-27,16.5,1.0,jun,screenshot-sinp-20260611-0713
2026-06-28,19.5,1.0,jun,screenshot-sinp-20260611-0713
2026-06-29,21.0,1.0,jun,screenshot-sinp-20260611-0713
2026-06-30,20.0,1.0,jun,screenshot-sinp-20260611-0713
2026-07-01,17.0,1.0,jun,screenshot-sinp-20260611-0713
2026-07-02,11.0,0.8,jun,screenshot-sinp-20260611-0713
2026-07-03,9.5,0.8,jun,screenshot-sinp-20260611-0713
2026-07-04,7.0,0.8,jun,screenshot-sinp-20260611-0713
2026-07-05,5.4,0.8,jun,screenshot-sinp-20260611-0713
